Datum,Jahr,Monat,Core_Typ,Fahrzeugmodell,Komponente,Menge_Cores,Menge_Wiederverwendbar,Wiederverwendbarkeit_%
2019-11-01,2019,11,TBLBMWX32018,BMW_X3_2018,Gehäuse_1,0,0,85
2019-11-01,2019,11,TBLBMWX32018,BMW_X3_2018,Verdichter_1,0,0,70
2019-11-01,2019,11,TBLBMWX32018,BMW_X3_2018,Dichtung_1,0,0,45
2019-11-01,2019,11,TBLBMWX32018,BMW_X3_2018,Welle_1,0,0,75
2019-11-01,2019,11,TBLBMWX32018,BMW_X3_2018,Ventil_1,0,0,65
2019-11-08,2019,11,TBLBMWX32018,BMW_X3_2018,Gehäuse_1,0,0,85
2019-11-08,2019,11,TBLBMWX32018,BMW_X3_2018,Verdichter_1,0,0,70
2019-11-08,2019,11,TBLBMWX32018,BMW_X3_2018,Dichtung_1,0,0,45
2019-11-08,2019,11,TBLBMWX32018,BMW_X3_2018,Welle_1,0,0,75
2019-11-08,2019,11,TBLBMWX32018,BMW_X3_2018,Ventil_1,0,0,65
2019-11-15,2019,11,TBLBMWX32018,BMW_X3_2018,Gehäuse_1,0,0,85
2019-11-15,2019,11,TBLBMWX32018,BMW_X3_2018,Verdichter_1,0,0,70
2019-11-15,2019,11,TBLBMWX32018,BMW_X3_2018,Dichtung_1,0,0,45
2019-11-15,2019,11,TBLBMWX32018,BMW_X3_2018,Welle_1,0,0,75
2019-11-15,2019,11,TBLBMWX32018,BMW_X3_2018,Ventil_1,0,0,65
2019-11-22,2019,11,TBLBMWX32018,BMW_X3_2018,Gehäuse_1,0,0,85
2019-11-22,2019,11,TBLBMWX32018,BMW_X3_2018,Verdichter_1,0,0,70
2019-11-22,2019,11,TBLBMWX32018,BMW_X3_2018,Dichtung_1,0,0,45
2019-11-22,2019,11,TBLBMWX32018,BMW_X3_2018,Welle_1,0,0,75
2019-11-22,2019,11,TBLBMWX32018,BMW_X3_2018,Ventil_1,0,0,65
2019-12-01,2019,12,TBLBMWX32018,BMW_X3_2018,Gehäuse_1,0,0,85
2019-12-01,2019,12,TBLBMWX32018,BMW_X3_2018,Verdichter_1,0,0,70
2019-12-01,2019,12,TBLBMWX32018,BMW_X3_2018,Dichtung_1,0,0,45
2019-12-01,2019,12,TBLBMWX32018,BMW_X3_2018,Welle_1,0,0,75
2019-12-01,2019,12,TBLBMWX32018,BMW_X3_2018,Ventil_1,0,0,65
2019-12-08,2019,12,TBLBMWX32018,BMW_X3_2018,Gehäuse_1,0,0,85
2019-12-08,2019,12,TBLBMWX32018,BMW_X3_2018,Verdichter_1,0,0,70
2019-12-08,2019,12,TBLBMWX32018,BMW_X3_2018,Dichtung_1,0,0,45
2019-12-08,2019,12,TBLBMWX32018,BMW_X3_2018,Welle_1,0,0,75
2019-12-08,2019,12,TBLBMWX32018,BMW_X3_2018,Ventil_1,0,0,65
